Internal gene ID,Vectorbase Identifier,Display name,Gene family,OrthoDB category,OrthoDB D. melanogaster ortholog,BlastX hit(s) to D. melanogaster proteome,Evidence for name,,,,,,,,,,,,,,,
gene4903,AAEL010737,Ddc,biogenic amine processing,NA,NA,Ddc-Hdc-amd-Tdc2,BLASTX,,,,,,,,,,,,,,,
gene9871,AAEL014632,Hdc,biogenic amine processing,EOG8PRWG1,Hdc,Hdc-Ddc-Tdc2-Tdc1-amd,orthoDB,,,,,,,,,,,,,,,
gene7017,AAEL010856,Tbh,biogenic amine processing,EOG8S4S6P,Tbh,Tbh-CG5235-olf413-Phm,orthoDB,,,,,,,,,,,,,,,
gene9529,AAEL003462,Tdc1,biogenic amine processing,EOG82Z7FS,Tdc1,Tdc2-Tdc1-Hdc-Ddc-amd,orthoDB,,,,,,,,,,,,,,,
gene9515,AAEL018302,Tdc2,biogenic amine processing,EOG8GMXNF,Tdc2,Ddc-Tdc2-Tdc1-Hdc-amd,orthoDB,,,,,,,,,,,,,,,
gene2663,AAEL017098,TH (ple),biogenic amine processing,EOG80P6ZC,ple (TH),ple-Hn-Trh,orthoDB,,,,,,,,,,,,,,,
gene6014,AAEL003920,Dop1R1,Dopamine receptor,EOG8DNHWP,Dop1R1,Dop1R1-Octbeta1R-Octbeta2R,orthoDB,,,,,,,,,,,,,,,
gene8803,AAEL005834,Dop1R2,Dopamine receptor,EOG8M688F,Dop1R2,Dop1R2-Octbeta2R-Octbeta1R,orthoDB,,,,,,,,,,,,,,,
gene12552,AAEL014373,Dop2R,Dopamine receptor,EOG844PBB,Dop2R,Dop2R-Oct-TyrR-5-HT7-Oamb,orthoDB,,,,,,,,,,,,,,,
gene1604,AAEL017166,Dop2R,Dopamine receptor,NA,NA,Dop2R-Dop1R1,BLASTX,,,,,,,,,,,,,,,
gene9236,AAEL007372,GABA-B-R1,GABA receptor,EOG890B1B,GABA-B-R1,GABA-B-R1-GABA-B-R2-GABA-B-R3,orthoDB,,,,,,,,,,,,,,,
gene3252,AAEL010408,GABA-B-R2,GABA receptor,EOG8KPX24,GABA-B-R2,GABA-B-R2-GABA-B-R1-GABA-B-R3,orthoDB,,,,,,,,,,,,,,,
gene5012,AAEL007709,GABA-B-R3,GABA receptor,EOG8BGCM7,GABA-B-R3,GABA-B-R3-GABA-B-R2-GABA-B-R1,orthoDB,,,,,,,,,,,,,,,
gene13810,AAEL010710,Lcch3,GABA receptor,EOG8NGKCD,Lcch3,Lcch3-Rdl-GluClalpha,orthoDB,,,,,,,,,,,,,,,
gene227,AAEL008354,Rdl,GABA receptor,EOG890B1V,Rdl,Rdl-Lcch3-GluClalpha,orthoDB,,,,,,,,,,,,,,,
gene7883,AAEL011981,Gad1,glutamate processing,EOG8CC6RX,Gad1,Gad1-b-CG5618,orthoDB,,,,,,,,,,,,,,,
gene15368,AAEL007542,Gad2,glutamate processing,EOG8VMJ5X,b (Gad2),b-Gad1-CG5618,orthoDB,,,,,,,,,,,,,,,
gene9477,AAEL002509,CG3822,Glutamate receptor,NA,NA,CG3822-CG5621-clumsy-GluRIID-Ekar,BLASTX,,,,,,,,,,,,,,,
gene9440,AAEL002538,CG3822/clumsy,Glutamate receptor,EOG879HZF-EOG879HZF,CG3822-clumsy,GluRIIA-clumsy-CG5621-CG3822-CG11155-Ekar,orthoDB,,,,,,,,,,,,,,,
gene9462,AAEL002506,CG3822/clumsy,Glutamate receptor,EOG879HZF-EOG879HZF,CG3822-clumsy,GluRIIA-clumsy-CG5621-CG3822-CG11155-Ekar,orthoDB,,,,,,,,,,,,,,,
gene9467,AAEL002518,CG3822/clumsy,Glutamate receptor,EOG879HZF-EOG879HZF,CG3822-clumsy,CG3822-clumsy-CG11155-CG5621-Ekar,orthoDB,,,,,,,,,,,,,,,
gene6517,AAEL018149,GluRIA/B,Glutamate receptor,EOG87Q0X7-EOG87Q0X7,GluRIA-GluRIB,GluRIA-GluRIB-CG3822-Ekar-CG11155,orthoDB,,,,,,,,,,,,,,,
gene9464,AAEL002511,GluRIID/E/CG5621,Glutamate receptor,EOG8ZPHKK-EOG8ZPHKK-EOG8ZPHKK,GluRIID-CG5621-GluRIIE,GluRIID-CG5621-CG3822-CG11155-GluRIIE-clumsy-Ekar,orthoDB,,,,,,,,,,,,,,,
gene5680,AAEL017068,mGluR,Glutamate receptor,EOG8ZSCTG,mGluR,mGluR-mtt-GABA-B-R2,orthoDB,,,,,,,,,,,,,,,
gene5245,AAEL008587,Nmdar1,Glutamate receptor,EOG8N8TVW,Nmdar1,Nmdar1-Nmdar2-CG11155,orthoDB,,,,,,,,,,,,,,,
gene4609,AAEL013695,Nmdar2,Glutamate receptor,EOG84XN71,Nmdar2,Nmdar2-Nmdar1-Ekar-CG11155,orthoDB,,,,,,,,,,,,,,,
gene9392,AAEL008090,Nmdar2,Glutamate receptor,EOG84XN71,Nmdar2,Nmdar2-Nmdar1-Ekar-CG11155,orthoDB,,,,,,,,,,,,,,,
gene15675,AAEL002380,AaegGr1,GR,EOG8N075Q,Gr21a,Gr21a-Gr63a-Gr39b,"Kent, 2008",,,,,,,,,,,,,,,
gene15669,AAEL000082,AaegGr10,GR,NA,NA,Gr64a-Gr64b-Gr61a-Gr64d-Gr64c-Gr64f-Gr5a,"Kent, 2008",,,,,,,,,,,,,,,
gene15695,AAEL011174,AaegGr11,GR,NA,NA,Gr64a-Gr61a-Gr64c-Gr64f-Gr64b-Gr64d-Gr64e,"Kent, 2008",,,,,,,,,,,,,,,
gene15681,AAEL015071,AaegGr12P,GR,NA,NA,Gr64a-Gr64c-Gr64d-Gr61a-Gr64b-Gr64f-Gr5a,"Kent, 2008",,,,,,,,,,,,,,,
gene15688,AAEL018071,AaegGr13P,GR,NA,NA,Gr64a-Gr64f-Gr61a-Gr64e-Gr64b-Gr5a-Gr64d,"Kent, 2008",,,,,,,,,,,,,,,
gene15911,AAEL011571,AaegGr14,GR,EOG822D9J,Gr66a,Gr66a-Gr2a-Gr28b-Gr28a-Gr32a,"Kent, 2008",,,,,,,,,,,,,,,
gene15799,AAEL017304,AaegGr15,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15798,AAEL017230,AaegGr16,GR,NA,NA,Gr8a-Gr23a-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15803,AAEL017097,AaegGr17,GR,NA,NA,Gr23a-Gr8a-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15804,AAEL017327,AaegGr18,GR,NA,NA,Gr8a-Gr2a-Gr23a,"Kent, 2008",,,,,,,,,,,,,,,
gene15917,AAEL011073,AaegGr19,GR,EOG8Q2H6B-EOG8Q2H6B,Gr28a-Gr28b,Gr28a-Gr28b-Gr66a-Gr2a-Gr64e,"Kent, 2008",,,,,,,,,,,,,,,
gene13851,AAEL002167,AaegGr2,GR,NA,NA,Gr21a-Gr63a-Gr58b,"Kent, 2008",,,,,,,,,,,,,,,
gene15989,AAEL007935,AaegGr20,GR,NA,NA,Gr28b-Gr28a-Gr2a-Gr33a-Gr66a-Gr43a,"Kent, 2008",,,,,,,,,,,,,,,
gene15744,AAEL013192,AaegGr21,GR,NA,NA,Gr66a,"Kent, 2008",,,,,,,,,,,,,,,
gene15742,AAEL013190,AaegGr22,GR,NA,NA,Gr28b-Gr28a-Gr10a-Gr66a-Gr33a,"Kent, 2008",,,,,,,,,,,,,,,
gene15750,AAEL013196,AaegGr23,GR,NA,NA,Gr43a-Gr28b,"Kent, 2008",,,,,,,,,,,,,,,
gene15743,AAEL013196,AaegGr24P,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15747,AAEL013193,AaegGr25,GR,NA,NA,Gr28b-Gr10a-Gr43a,"Kent, 2008",,,,,,,,,,,,,,,
gene15746,AAEL013195,AaegGr26,GR,NA,NA,Gr43a-Gr28b-Gr28a-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene16177,AAEL015556,AaegGr27,GR,NA,NA,Gr28a-Gr28b-Gr39a,"Kent, 2008",,,,,,,,,,,,,,,
gene15981,AAEL010277,AaegGr28,GR,NA,NA,Gr28a-Gr28b-Gr39a,"Kent, 2008",,,,,,,,,,,,,,,
gene15980,AAEL010275,AaegGr29,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15925,AAEL010058,AaegGr3,GR,EOG8ZCWW7,Gr63a,Gr63a-Gr21a,"Kent, 2008",,,,,,,,,,,,,,,
gene15827,AAEL013646,AaegGr30P,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15991,AAEL007933,AaegGr31,GR,NA,NA,Gr28a-Gr28b-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15978,AAEL017063,AaegGr32,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15888,AAEL017446,AaegGr33,GR,NA,NA,Gr28b-Gr66a-Gr68a-Gr32a-Gr28a-Gr22e-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15944,AAEL000162,AaegGr34,GR,EOG85F0FF,Gr43a,Gr43a-Gr28b-Gr32a-Gr28a,"Kent, 2008",,,,,,,,,,,,,,,
gene15937,AAEL017415,AaegGr35,GR,NA,NA,Gr28b-Gr43a-Gr68a-Gr32a,"Kent, 2008",,,,,,,,,,,,,,,
gene15629,AAEL017169,AaegGr36,GR,NA,NA,Gr43a-Gr59f-Gr66a-Gr28b-Gr23a,"Kent, 2008",,,,,,,,,,,,,,,
gene15766,AAEL017235,AaegGr37,GR,NA,NA,Gr39a-Gr68a-Gr32a-Gr2a-Gr23a-Gr63a,"Kent, 2008",,,,,,,,,,,,,,,
gene15814,AAEL018088,AaegGr38P,GR,NA,NA,Gr39a-Gr68a-Gr32a-Gr2a-Gr23a-Gr63a,"Kent, 2008",,,,,,,,,,,,,,,
gene15765,AAEL017323,AaegGr39,GR,NA,NA,Gr32a-Gr68a,"Kent, 2008",,,,,,,,,,,,,,,
gene15665,AAEL000048,AaegGr4,GR,NA,NA,Gr64f-Gr64e-Gr5a-Gr64a-Gr64b-Gr61a-Gr64d-Gr64c,"Kent, 2008",,,,,,,,,,,,,,,
gene15815,RU277,AaegGr40,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15994,AAEL006500,AaegGr41,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene2023,AAEL017449,AaegGr42,GR,NA,NA,Gr94a,"Kent, 2008",,,,,,,,,,,,,,,
gene2038,AAEL017182,AaegGr43,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15993,AAEL017569,AaegGr44,GR,NA,NA,Gr94a-Gr23a-Gr66a-Gr2a-Gr39a-Gr28b,"Kent, 2008",,,,,,,,,,,,,,,
gene15995,AAEL006494,AaegGr45,GR,NA,NA,Gr2a-Gr94a-Gr66a-Gr97a-Gr28b,"Kent, 2008",,,,,,,,,,,,,,,
gene15992,AAEL017092,AaegGr46,GR,NA,NA,Gr28b-Gr43a-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15996,AAEL017408,AaegGr47,GR,NA,NA,Gr28b-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15914,AAEL018062,AaegGr48P,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15973,AAEL017488,AaegGr49,GR,EOG8NCQ4N,Gr33a,Gr28b-Gr10a-Gr28a,"Kent, 2008",,,,,,,,,,,,,,,
gene15670,AAEL000043,AaegGr5,GR,NA,NA,Gr64e-Gr64f-Gr64a-Gr5a-Gr61a-Gr64b-Gr64c,"Kent, 2008",,,,,,,,,,,,,,,
gene15975,AAEL018078,AaegGr50P,GR,EOG82C11P,Gr59b,Gr98c-Gr10a-Gr28a-Gr28b-Gr66a,"Kent, 2008",,,,,,,,,,,,,,,
gene15797,AAEL017130,AaegGr51,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15938,AAEL002326,AaegGr52P,GR,EOG8RNF19-EOG8RNF19,ppk3-ppk3,Gr43a-Gr59f-Gr66a-Gr28b-Gr23a,"Kent, 2008",,,,,,,,,,,,,,,
gene15976,AAEL010279,AaegGr53,GR,NA,NA,Gr28b-Gr28a-Gr2a-Gr33a,"Kent, 2008",,,,,,,,,,,,,,,
gene15977,AAEL017364,AaegGr54,GR,NA,NA,Gr28b-Gr2a-Gr28a,"Kent, 2008",,,,,,,,,,,,,,,
gene15979,AAEL010274,AaegGr55,GR,NA,NA,Gr66a-Gr10a-Gr28b-Gr28a-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15972,AAEL010278,AaegGr56,GR,NA,NA,Gr10a-Gr28b-Gr66a-Gr28a-Gr2a,"Kent, 2008",,,,,,,,,,,,,,,
gene15974,AAEL010272,AaegGr57,GR,NA,NA,Gr28b-Gr43a-Gr28a,"Kent, 2008",,,,,,,,,,,,,,,
gene15745,AAEL017324,AaegGr58,GR,NA,NA,Gr66a,"Kent, 2008",,,,,,,,,,,,,,,
gene15748,AAEL013200,AaegGr59,GR,NA,NA,Gr28b-Gr28a-Gr10a-Gr33a-Gr66a,"Kent, 2008",,,,,,,,,,,,,,,
gene15663,AAEL000012,AaegGr6,GR,NA,NA,Gr61a-Gr64a-Gr64e-Gr64f-Gr64d-Gr5a-Gr64c,"Kent, 2008",,,,,,,,,,,,,,,
gene15990,AAEL017450,AaegGr60,GR,NA,NA,Gr28b-Gr28a-Gr2a-Gr66a-Gr33a-Gr23a,"Kent, 2008",,,,,,,,,,,,,,,
gene15988,AAEL017202,AaegGr61,GR,NA,NA,Gr2a-Gr28b-Gr28a-Gr66a-Gr23a,"Kent, 2008",,,,,,,,,,,,,,,
gene15986,AAEL017040,AaegGr62,GR,NA,NA,Gr2a-Gr28b-Gr28a-Gr33a-Gr23a,"Kent, 2008",,,,,,,,,,,,,,,
gene15856,AAEL017565,AaegGr63,GR,NA,NA,Gr2a-Gr68a-Gr28b-Gr32a-Gr66a,"Kent, 2008",,,,,,,,,,,,,,,
gene1109,AAEL007142,AaegGr64,GR,NA,NA,Gr2a-Gr28b-Gr66a-Gr23a-Gr33a-Gr32a,"Kent, 2008",,,,,,,,,,,,,,,
gene15801,AAEL017295,AaegGr65,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15800,AAEL017394,AaegGr66,GR,EOG8BVVKS,Gr39b,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15758,AAEL017158,AaegGr67,GR,NA,NA,Gr39a-Gr23a-Gr32a-Gr66a-Gr28b-Gr68a,"Kent, 2008",,,,,,,,,,,,,,,
gene15759,AAEL017527,AaegGr68,GR,NA,NA,Gr32a-Gr66a-Gr68a-Gr39a-Gr28b-Gr9a-Gr23a,"Kent, 2008",,,,,,,,,,,,,,,
gene15760,AAEL017441,AaegGr69,GR,NA,NA,Gr39a,"Kent, 2008",,,,,,,,,,,,,,,
gene15673,AAEL000060,AaegGr7,GR,NA,NA,Gr64a-Gr61a-Gr64f-Gr64e-Gr64d-Gr64b-Gr64c,"Kent, 2008",,,,,,,,,,,,,,,
gene15999,AAEL017432,AaegGr70,GR,NA,NA,Gr32a-Gr66a-Gr68a-Gr39a-Gr9a,"Kent, 2008",,,,,,,,,,,,,,,
gene15998,AAEL017307,AaegGr71,GR,NA,NA,Gr39a,"Kent, 2008",,,,,,,,,,,,,,,
gene6283,AAEL017216,AaegGr72,GR,EOG8TQQ1H,pn,Gr2a-Gr28b-Gr23a-Gr68a,"Kent, 2008",,,,,,,,,,,,,,,
gene15714,AAEL010962,AaegGr73,GR,NA,NA,Gr28b-Gr68a-Gr32a-Gr2a-Gr66a,"Kent, 2008",,,,,,,,,,,,,,,
gene15834,AAEL017476,AaegGr74,GR,NA,NA,Gr9a,"Kent, 2008",,,,,,,,,,,,,,,
gene15915,AAEL018062,AaegGr75P,GR,NA,NA,Gr66a,"Kent, 2008",,,,,,,,,,,,,,,
gene15947,AAEL009545,AaegGr76,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15987,AAEL007940,AaegGr77,GR,NA,NA,Gr28b-Gr33a,"Kent, 2008",,,,,,,,,,,,,,,
gene15931,AAEL017312,AaegGr78,GR,NA,NA,Gr28b-Gr28a-Gr66a-Gr2a-Gr77a,"Kent, 2008",,,,,,,,,,,,,,,
gene15805,AAEL017486,AaegGr79,GR,NA,NA,NA,"Kent, 2008",,,,,,,,,,,,,,,
gene15667,AAEL000069,AaegGr8P,GR,NA,NA,Gr64a-Gr61a-Gr64b-Gr64d-Gr64f-Gr64c-Gr64e,"Kent, 2008",,,,,,,,,,,,,,,
gene15666,AAEL000075,AaegGr9,GR,NA,NA,Gr64f-Gr64b-Gr61a-Gr64a-Gr64e-Gr64c-Gr64d,"Kent, 2008",,,,,,,,,,,,,,,
gene4113,AAEL001568,Glycine receptor,Histamine receptor,NA,NA,GluClalpha-ort-HisCl1-CG12344,BlastX/vectorbase,,,,,,,,,,,,,,,
gene15542,AAEL006047,HisCl1,Histamine receptor,NA,NA,HisCl1-ort-GluClalpha,BlastX,,,,,,,,,,,,,,,
gene14960,AAEL003028,HisCl1,Histamine receptor,NA,NA,HisCl1-ort-Rdl,BlastX,,,,,,,,,,,,,,,
gene13936,AAEL012248,HisCl2,Histamine receptor,EOG85MQX8,ort (HisCl2),ort-HisCl1-GluClalpha,orthoDB,,,,,,,,,,,,,,,
gene2856,AAEL015078,AaegIr100a.1,IR,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,Ir100a-Ir10a-Ir68b-Ir60a-Ir94e-Ir21a,"Croset, 2012",,,,,,,,,,,,,,,
gene15950,AAEL015266,AaegIr100a.2,IR,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,Ir10a-Ir100a-Ir68b-Ir60a,"Croset, 2012",,,,,,,,,,,,,,,
gene1249,AAEL008332,AaegIr100c.1,IR,EOG8NGKC7-EOG8NGKC7-EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a-Ir10a-Ir100a,Ir100a-Ir10a-Ir68b-Ir76a-Ir41a-Ir75d,"Croset, 2012",,,,,,,,,,,,,,,
gene15874,AAEL008332,AaegIr100c.1,IR,EOG8NGKC7-EOG8NGKC7-EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a-Ir10a-Ir100a,Ir100a-Ir10a-Ir68b-Ir76a-Ir41a-Ir75d,"Croset, 2012",,,,,,,,,,,,,,,
gene7871,AAEL015267,AaegIr100c.2,IR,EOG8NGKC7-EOG8NGKC7,Ir100a-Ir10a,Ir10a-Ir100a-Ir68b-Ir60a-Ir76a-Ir41a-Ir85a-Ir75d,"Croset, 2012",,,,,,,,,,,,,,,
gene7872,AAEL015265,AaegIr100d,IR,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,Ir10a-Ir100a-Ir68b-Ir41a-Ir94b-Ir76a-Ir85a-Ir68a,"Croset, 2012",,,,,,,,,,,,,,,
gene2855,AAEL015079,AaegIr100e.1,IR,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,Ir100a-Ir10a-Ir68b-Ir68a-Ir85a-Ir94a-Ir60a-Ir41a-Ir75d,"Croset, 2012",,,,,,,,,,,,,,,
gene3259,AAEL015647,AaegIr100e.2,IR,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,Ir100a-Ir10a-Ir68b-Ir68a-Ir85a-Ir94a-Ir41a-Ir60a-Ir75d,"Croset, 2012",,,,,,,,,,,,,,,
gene15773,AAEL013241,AaegIr101,IR,EOG8ZW82C,prt,Ir68b,"Croset, 2012",,,,,,,,,,,,,,,
gene2558,AAEL011122,AaegIr103,IR,NA,NA,NA,"Croset, 2012",,,,,,,,,,,,,,,
gene15646,AAEL018069,AaegIr106.1,IR,EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT,Ir56a-Ir56b-Ir56d-Ir51b-Ir56c,Ir10a,"Croset, 2012",,,,,,,,,,,,,,,
gene15921,AAEL011804,AaegIr107.1,IR,EOG8Z65D5-EOG8Z65D5,Ir94h-Ir20a,Ir94h,"Croset, 2012",,,,,,,,,,,,,,,
gene15706,AAEL018081,AaegIr119,IR,NA,NA,Ir47a,"Croset, 2012",,,,,,,,,,,,,,,
gene15751,AAEL007786,AaegIr120,IR,NA,NA,NA,"Croset, 2012",,,,,,,,,,,,,,,
gene15893,AAEL013366,AaegIr21a,IR,EOG8VDSPV,Ir21a,Ir21a-CG5621-CG11155-Ir76b-GluRIIE-GluRIID-clumsy,"Croset, 2012",,,,,,,,,,,,,,,
gene12514,AAEL009813,AaegIr25a,IR,EOG8N8TW2,Ir25a,Ir25a-Ir8a-CG3822-CG11155-Ekar,"Croset, 2012",,,,,,,,,,,,,,,
gene15691,AAEL013153,AaegIr31a,IR,EOG8QG04N,Ir31a,Ir31a-Ir75d-Ir84a-Ir64a-Ir75b-Ir75a,"Croset, 2012",,,,,,,,,,,,,,,
gene15971,AAEL014270,AaegIr40a,IR,EOG8RZ1QP,Ir40a,Ir40a-CG11155-CG5621-GluRIIE-GluRIA-Ir76b-Ir21a,"Croset, 2012",,,,,,,,,,,,,,,
gene15958,AAEL018084,AaegIr40a.2,IR,EOG8RZ1QP,Ir40a,Ir40a-GluRIIE-CG11155-GluRIA-Ir76b-Ir92a-Ir21a,"Croset, 2012",,,,,,,,,,,,,,,
gene8096,AAEL000007,AaegIr41a.1,IR,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,Ir41a-Ir76a-Ir92a-Ir25a-GluRIID,"Croset, 2012",,,,,,,,,,,,,,,
gene15662,AAEL000031,AaegIr41a.2,IR,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,Ir41a-Ir76a-Ir92a-Ir67c-Ir67b-Ir7c,"Croset, 2012",,,,,,,,,,,,,,,
gene8174,AAEL000027,AaegIr41d.1,IR,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,Ir41a-Ir92a-Ir76a-Nmdar1-GluRIB,"Croset, 2012",,,,,,,,,,,,,,,
gene16175,AAEL015429,AaegIr41d.2,IR,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,Ir41a-Ir76a-Ir92a-Nmdar1-GluRIB,"Croset, 2012",,,,,,,,,,,,,,,
gene8158,AAEL000095,AaegIr41d.3,IR,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,Ir41a-Ir92a-Ir76a-Ekar-Nmdar1-GluRIID-CG11155,"Croset, 2012",,,,,,,,,,,,,,,
gene8098,AAEL000011,AaegIr41e,IR,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,Ir41a-Ir92a-Ir76a-CG5621-Ir7c,"Croset, 2012",,,,,,,,,,,,,,,
gene8137,AAEL018359,AaegIr41g,IR,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,Ir41a-Ir76a-Ir92a-Nmdar1-Ekar,"Croset, 2012",,,,,,,,,,,,,,,
gene8090,AAEL000047,AaegIr41i,IR,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,Ir41a-Ir92a-Ir76a-Ir10a-GluRIID-CG5621,"Croset, 2012",,,,,,,,,,,,,,,
gene8172,AAEL000018,AaegIr41j,IR,NA,NA,Ir41a-Ir76a-Ir92a-Ir84a-GluRIID-CG11155-Nmdar1-CG5621,"Croset, 2012",,,,,,,,,,,,,,,
gene8156,AAEL000066,AaegIr41k,IR,NA,NA,Ir41a-Ir76a-Ir92a-Ir85a-GluRIID-GluRIIE-CG11155-Ir84a-Ekar,"Croset, 2012",,,,,,,,,,,,,,,
gene8161,AAEL000089,AaegIr41n,IR,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,Ir41a-Ir76a-Ir92a-Ir67c-Ir56b-Ir84a-Nmdar1-Ir40a-Ekar,"Croset, 2012",,,,,,,,,,,,,,,
gene15674,AAEL000039,AaegIr41o,IR,NA,NA,Ir41a-Ir76a-Ir92a-Ir40a-Ir84a-Ir48c,"Croset, 2012",,,,,,,,,,,,,,,
gene15664,AAEL000063,AaegIr41p.1,IR,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,Ir41a-Ir76a-Ir92a-GluRIID-Ir25a,"Croset, 2012",,,,,,,,,,,,,,,
